product_id,name,description,category,brand,price
101813,Mac mini M4 2024 10CPU 10GPU 16GB 256GB - Cũ Đẹp,,Hàng cũ,Apple,14990000.0
39909,Samsung Galaxy A32 Cũ trầy xước,,Hàng cũ,Samsung,6490000.0
28226,Apple MacBook Pro 13 Touch Bar M1 512GB 2020 I Chính hãng Apple Việt Nam ,,Laptop,Apple,41990000.0
72876,Camera IP 360 độ 6MP IMOU IPC-S2XP-6M0WED,,Phụ kiện,,2000000.0
113777,Laptop HP Omen 16-K0033DX 74S79UA - Cũ Đẹp,,Hàng cũ,HP,23990000.0
106961,Bàn phím + bao da iPad Air 13 (M2/M3) Esr Rebound Magnetic 360,,Phụ kiện,,3490000.0
34742,Apple MacBook Pro 13 Touch Bar M1 512GB 2020 Cũ đẹp,,Hàng cũ,Apple,41990000.0
113217,Ốp lưng iPhone 17 Pro Max Mipow Mattex With Magsafe,,Phụ kiện,,550000
110391,Bàn phím cơ có dây Aula WIN68HE Max xám trắng,,Phụ kiện,,1190000.0
105721,OPPO Pad 3 Pro 12GB 256GB - Cũ Trầy Xước,,Hàng cũ,OPPO,10290000.0
77058,Samsung Galaxy Z Flip5 5G 512GB - Cũ Xước Cấn,,Hàng cũ,Samsung,7490000.0
74168,Samsung Galaxy Tab S9 5G 12GB 256GB - Cũ Đẹp,,Hàng cũ,Samsung,24540000.0
88618,Microphone thu âm Podcast Shure MV7+,,Âm thanh,,10100000.0
109715,Đế sạc không dây StarGO QI 2.0 3 in 1,,Phụ kiện,,990000
96971,Súng massage fascial gun Philips PPM7325,,Nhà thông minh,,1690000.0
109437,Ốp lưng iPhone 15 Wiwu YXK-207 Clear,,Phụ kiện,,170000
26786,Tấm lót chuột da cao cấp nhiều màu 25 x 30cm,,Phụ kiện,,120000
83234,Tai nghe Bluetooth True Wireless JBL Wave Beam - Cũ,,Hàng cũ,,1490000.0
103365,Honor X9B 5G 12GB 256GB - Cũ Đẹp,,Hàng cũ,Hãng khác,5990000.0
75453,Sim Vinaphone D159V 6GB/Ngày - Gói cước 1 tháng,,Sim 4G,,390000
92598,Đế sạc không dây Magnetic Baseus Picogo Series 2-In-1 QI2 67W,,Phụ kiện,,1390000.0
54603,Samsung Galaxy S22 Plus (8GB - 128GB) - Cũ Xước Cấn,,Hàng cũ,Samsung,25990000.0
